"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"BKM00014654","SARAJEVO, BK","2020-01-01","27","35","20"
"BKM00014654","SARAJEVO, BK","2020-01-02","29","38","22"
"BKM00014654","SARAJEVO, BK","2020-01-03","27","38","19"
"BKM00014654","SARAJEVO, BK","2020-01-04","29","38","21"
"BKM00014654","SARAJEVO, BK","2020-01-05","31","33","28"
"BKM00014654","SARAJEVO, BK","2020-01-06","26","32","21"
"BKM00014654","SARAJEVO, BK","2020-01-07","21","33","13"
"BKM00014654","SARAJEVO, BK","2020-01-08","23","33","15"
"BKM00014654","SARAJEVO, BK","2020-01-09","22","29","16"
"BKM00014654","SARAJEVO, BK","2020-01-10","24","35","17"
"BKM00014654","SARAJEVO, BK","2020-01-11","28","33","23"
"BKM00014654","SARAJEVO, BK","2020-01-12","33","42","27"
"BKM00014654","SARAJEVO, BK","2020-01-13","31","41","24"
"BKM00014654","SARAJEVO, BK","2020-01-14","36","50","28"
"BKM00014654","SARAJEVO, BK","2020-01-15","34","43","27"
"BKM00014654","SARAJEVO, BK","2020-01-16","28","38","22"
"BKM00014654","SARAJEVO, BK","2020-01-17","26","31","24"
"BKM00014654","SARAJEVO, BK","2020-01-18","25","29","22"
"BKM00014654","SARAJEVO, BK","2020-01-19","29","31","26"
"BKM00014654","SARAJEVO, BK","2020-01-20","30","32","29"
"BKM00014654","SARAJEVO, BK","2020-01-21","30","39","24"
"BKM00014654","SARAJEVO, BK","2020-01-22","26","37","19"
"BKM00014654","SARAJEVO, BK","2020-01-23","30","42","21"
"BKM00014654","SARAJEVO, BK","2020-01-24","32","46","20"
"BKM00014654","SARAJEVO, BK","2020-01-25","41","54","31"
"BKM00014654","SARAJEVO, BK","2020-01-26","39","43","33"
"BKM00014654","SARAJEVO, BK","2020-01-27","39","42","37"
"BKM00014654","SARAJEVO, BK","2020-01-28","42","49","31"
"BKM00014654","SARAJEVO, BK","2020-01-29","39","49","34"
"BKM00014654","SARAJEVO, BK","2020-01-30","35","45","31"
"BKM00014654","SARAJEVO, BK","2020-01-31","40","55","28"
"BKM00014654","SARAJEVO, BK","2020-02-01","46","60","34"
"BKM00014654","SARAJEVO, BK","2020-02-02","51","62","44"
"BKM00014654","SARAJEVO, BK","2020-02-03","52","60","42"
"BKM00014654","SARAJEVO, BK","2020-02-04","46","57","34"
"BKM00014654","SARAJEVO, BK","2020-02-05","32","35","30"
"BKM00014654","SARAJEVO, BK","2020-02-06","28","37","23"
"BKM00014654","SARAJEVO, BK","2020-02-07","29","35","21"
"BKM00014654","SARAJEVO, BK","2020-02-08","36","48","32"
"BKM00014654","SARAJEVO, BK","2020-02-09","37","53","26"
"BKM00014654","SARAJEVO, BK","2020-02-10","46","50","34"
"BKM00014654","SARAJEVO, BK","2020-02-11","49","60","41"
"BKM00014654","SARAJEVO, BK","2020-02-12","38","44","35"
"BKM00014654","SARAJEVO, BK","2020-02-13","40","54","28"
"BKM00014654","SARAJEVO, BK","2020-02-14","43","55","33"
"BKM00014654","SARAJEVO, BK","2020-02-15","40","46","36"
"BKM00014654","SARAJEVO, BK","2020-02-16","40","58","29"
"BKM00014654","SARAJEVO, BK","2020-02-17","48","71","33"
"BKM00014654","SARAJEVO, BK","2020-02-18","43","47","34"
"BKM00014654","SARAJEVO, BK","2020-02-19","44","52","39"
"BKM00014654","SARAJEVO, BK","2020-02-20","36","42","31"
"BKM00014654","SARAJEVO, BK","2020-02-21","37","54","27"
"BKM00014654","SARAJEVO, BK","2020-02-22","38","51","29"
"BKM00014654","SARAJEVO, BK","2020-02-23","44","63","30"
"BKM00014654","SARAJEVO, BK","2020-02-24","46","54","40"
"BKM00014654","SARAJEVO, BK","2020-02-25","51","66","33"
"BKM00014654","SARAJEVO, BK","2020-02-26","50","60","39"
"BKM00014654","SARAJEVO, BK","2020-02-27","34","42","31"
"BKM00014654","SARAJEVO, BK","2020-02-28","37","45","31"
"BKM00014654","SARAJEVO, BK","2020-02-29","38","54","24"
"BKM00014654","SARAJEVO, BK","2020-03-01","47","51","38"
"BKM00014654","SARAJEVO, BK","2020-03-02","53","61","45"
"BKM00014654","SARAJEVO, BK","2020-03-03","50","56","43"
"BKM00014654","SARAJEVO, BK","2020-03-04","40","44","39"
"BKM00014654","SARAJEVO, BK","2020-03-05","43","57","31"
"BKM00014654","SARAJEVO, BK","2020-03-06","48","58","39"
"BKM00014654","SARAJEVO, BK","2020-03-07","39","45","38"
"BKM00014654","SARAJEVO, BK","2020-03-08","37","39","35"
"BKM00014654","SARAJEVO, BK","2020-03-09","41","51","36"
"BKM00014654","SARAJEVO, BK","2020-03-10","42","55","37"
"BKM00014654","SARAJEVO, BK","2020-03-11","45","64","32"
"BKM00014654","SARAJEVO, BK","2020-03-12","55","74","39"
"BKM00014654","SARAJEVO, BK","2020-03-13","54","76","41"
"BKM00014654","SARAJEVO, BK","2020-03-14","44","47","43"
"BKM00014654","SARAJEVO, BK","2020-03-15","43","51","39"
"BKM00014654","SARAJEVO, BK","2020-03-16","47","67","34"
"BKM00014654","SARAJEVO, BK","2020-03-17","49","69","34"
"BKM00014654","SARAJEVO, BK","2020-03-18","49","65","36"
"BKM00014654","SARAJEVO, BK","2020-03-19","50","70","34"
"BKM00014654","SARAJEVO, BK","2020-03-20","53","73","36"
"BKM00014654","SARAJEVO, BK","2020-03-21","53","71","36"
"BKM00014654","SARAJEVO, BK","2020-03-22","39","52","34"
"BKM00014654","SARAJEVO, BK","2020-03-23","29","34","25"
"BKM00014654","SARAJEVO, BK","2020-03-24","29","36","23"
"BKM00014654","SARAJEVO, BK","2020-03-25","31","38","26"
"BKM00014654","SARAJEVO, BK","2020-03-26","37","42","30"
"BKM00014654","SARAJEVO, BK","2020-03-27","45","56","39"
"BKM00014654","SARAJEVO, BK","2020-03-28","46","60","32"
"BKM00014654","SARAJEVO, BK","2020-03-29","48","64","34"
"BKM00014654","SARAJEVO, BK","2020-03-30","44","55","35"
"BKM00014654","SARAJEVO, BK","2020-03-31","32","40","28"
"BKM00014654","SARAJEVO, BK","2020-04-01","31","36","27"
"BKM00014654","SARAJEVO, BK","2020-04-02","40","58","23"
"BKM00014654","SARAJEVO, BK","2020-04-03","46","60","31"
"BKM00014654","SARAJEVO, BK","2020-04-04","48","58","35"
"BKM00014654","SARAJEVO, BK","2020-04-05","52","61","43"
"BKM00014654","SARAJEVO, BK","2020-04-06","53","65","41"
"BKM00014654","SARAJEVO, BK","2020-04-07","52","66","38"
"BKM00014654","SARAJEVO, BK","2020-04-08","49","66","34"
"BKM00014654","SARAJEVO, BK","2020-04-09","54","75","36"
"BKM00014654","SARAJEVO, BK","2020-04-10","56","74","37"
"BKM00014654","SARAJEVO, BK","2020-04-11","55","68","42"
"BKM00014654","SARAJEVO, BK","2020-04-12","57","75","40"
"BKM00014654","SARAJEVO, BK","2020-04-13","58","73","43"
"BKM00014654","SARAJEVO, BK","2020-04-14","44","58","33"
"BKM00014654","SARAJEVO, BK","2020-04-15","40","54","30"
"BKM00014654","SARAJEVO, BK","2020-04-16","53","77","33"
"BKM00014654","SARAJEVO, BK","2020-04-17","60","80","42"
"BKM00014654","SARAJEVO, BK","2020-04-18","63","83","43"
"BKM00014654","SARAJEVO, BK","2020-04-19","64","82","49"
"BKM00014654","SARAJEVO, BK","2020-04-20","55","60","53"
"BKM00014654","SARAJEVO, BK","2020-04-21","47","53","43"
"BKM00014654","SARAJEVO, BK","2020-04-22","48","60","40"
"BKM00014654","SARAJEVO, BK","2020-04-23","52","67","35"
"BKM00014654","SARAJEVO, BK","2020-04-24","54","73","38"
"BKM00014654","SARAJEVO, BK","2020-04-25","59","76","41"
"BKM00014654","SARAJEVO, BK","2020-04-26","56","71","49"
"BKM00014654","SARAJEVO, BK","2020-04-27","58","77","42"
"BKM00014654","SARAJEVO, BK","2020-04-28","60","73","45"
"BKM00014654","SARAJEVO, BK","2020-04-29","58","68","50"
"BKM00014654","SARAJEVO, BK","2020-04-30","59","72","49"
"BKM00014654","SARAJEVO, BK","2020-05-01","57","68","50"
"BKM00014654","SARAJEVO, BK","2020-05-02","53","62","49"
"BKM00014654","SARAJEVO, BK","2020-05-03","45","56","40"
"BKM00014654","SARAJEVO, BK","2020-05-04","51","66","38"
"BKM00014654","SARAJEVO, BK","2020-05-05","58","74","39"
"BKM00014654","SARAJEVO, BK","2020-05-06","49","61","44"
"BKM00014654","SARAJEVO, BK","2020-05-07","51","65","40"
